iter	MAE
251	2.538139213
252	2.538201878
253	2.53777732
254	2.537881633
255	2.537654219
256	2.537662702
257	2.537705607
258	2.537768711
259	2.537809244
260	2.537830587
261	2.537743016
262	2.537614654
263	2.537649417
264	2.537712593
265	2.5378952
266	2.537894935
267	2.537923012
268	2.537961945
269	2.537986864
270	2.53804783
271	2.538105316
272	2.538551744
273	2.538809979
274	2.53884758
275	2.538441524
276	2.53827227
277	2.538246585
278	2.538196889
279	2.537907381
280	2.538061911
281	2.538026197
282	2.537615574
283	2.537341343
284	2.537071699
285	2.537057197
286	2.536860994
287	2.537001945
288	2.537239653
289	2.537425965
290	2.537598765
291	2.537664873
292	2.537815849
293	2.537740565
294	2.537963804
295	2.538204065
296	2.538354994
297	2.53848036
298	2.538677157
299	2.537593657
300	2.53637268
301	2.535460687
302	2.534496606
303	2.533610657
304	2.532812755
305	2.532129868
306	2.531377752
307	2.530685543
308	2.53046612
309	2.515619567
310	2.515153961
311	2.51506256
312	2.51516398
313	2.499296452
314	2.498662983
315	2.498090171
316	2.497882759
317	2.49777928
318	2.497523127
319	2.497360046
320	2.496800393
321	2.497018101
322	2.496579067
323	2.496842068
324	2.496825653
325	2.496759003
326	2.490187643
327	2.489987345
328	2.490189086
329	2.490093835
330	2.4902885
331	2.490040347
332	2.490278624
333	2.490221471
334	2.490072945
335	2.489586992
336	2.489155857
337	2.488753896
338	2.488379799
339	2.488027022
340	2.487702202
341	2.48743008
342	2.487063572
343	2.486697408
344	2.486735734
345	2.486373847
346	2.486055398
347	2.485826458
348	2.486218663
349	2.486038309
350	2.486228294
351	2.486000887
352	2.486168268
353	2.485623242
354	2.485694349
355	2.486093909
356	2.486476504
357	2.486267117
358	2.485762982
359	2.486088388
360	2.486251236
361	2.48574613
362	2.485905391
363	2.486249013
364	2.485969435
365	2.485658698
366	2.485805645
367	2.48562807
368	2.485983774
369	2.486315079
370	2.486634726
371	2.486719535
372	2.471702946
373	2.471597474
374	2.471327217
375	2.471044561
376	2.470740583
377	2.470452462
378	2.47018062
379	2.469874815
380	2.469866455
381	2.469578287
382	2.469352111
383	2.469330522
384	2.469090521
385	2.468864641
386	2.468713316
387	2.468371991
388	2.468149197
389	2.467966743
390	2.467791632
391	2.467626279
392	2.467470446
393	2.467669079
394	2.467573766
395	2.467903079
396	2.467671522
397	2.46742525
398	2.467193234
399	2.466975112
400	2.466761636
401	2.46656782
402	2.466384885
403	2.466622519
404	2.466855269
405	2.467089755
406	2.467300065
407	2.467501026
408	2.467263147
409	2.467049241
410	2.466835917
411	2.467050819
412	2.467269771
413	2.467465283
414	2.467656366
415	2.46741597
416	2.467605426
417	2.467369013
418	2.467145005
419	2.467375242
420	2.467136222
421	2.466919794
422	2.467032891
423	2.467141174
424	2.467336803
425	2.467537875
426	2.467652272
427	2.467393465
428	2.467457602
429	2.467213563
430	2.467036013
431	2.466803649
432	2.466602905
433	2.466410246
434	2.466254105
435	2.46610379
436	2.466007124
437	2.465804068
438	2.465628191
439	2.465486681
440	2.465327511
441	2.46520154
442	2.465082104
443	2.464943755
444	2.464840907
445	2.464739804
446	2.464643964
447	2.464553055
448	2.46446675
449	2.464590135
450	2.464512586
451	2.464401695
452	2.464319872
